----------------------------------------------------------------------------------------------------,,
Accel-Sim-build,,
QV100-SASS-accel-51747b3-gpgpu-deb5eb5,2.0,2.0,2.0

----------------------------------------------------------------------------------------------------,,
gpu_ipc\s*=\s*(.*),,
CFG,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,AV--VG
QV100-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,98.3
QV100-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,98.7
QV100-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,98.3
QV100-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,98.3
QV100-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,98.3
QV100-SASS-accel-70be42c-gpgpu-deb5eb5,NA,NA,121.5
QV100-SASS-accel-51747b3-gpgpu-deb5eb5,0.0438,0.0438,0.0

----------------------------------------------------------------------------------------------------,,
gpu_occupancy\s*=\s*(.*)%,,
CFG,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,AV--VG
QV100-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,41.6
QV100-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,41.6
QV100-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,41.6
QV100-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,41.6
QV100-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,41.6
QV100-SASS-accel-70be42c-gpgpu-deb5eb5,NA,NA,50.9
QV100-SASS-accel-51747b3-gpgpu-deb5eb5,1.5625,1.5625,1.6

----------------------------------------------------------------------------------------------------,,
L2_BW\s*=\s*(.*)+GB\/Sec,,
CFG,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,AV--VG
QV100-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,NA
QV100-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,NA
QV100-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,NA
QV100-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,NA
QV100-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,NA
QV100-SASS-accel-70be42c-gpgpu-deb5eb5,NA,NA,NA
QV100-SASS-accel-51747b3-gpgpu-deb5eb5,,,NA

----------------------------------------------------------------------------------------------------,,
gpgpu_simulation_rate\s+=\s+(.*)\s+\(inst\/sec\),,
CFG,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,AV--VG
QV100-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,41843.2
QV100-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,36473.0
QV100-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,39201.7
QV100-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,39385.6
QV100-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,38821.8
QV100-SASS-accel-70be42c-gpgpu-deb5eb5,NA,NA,40490.0
QV100-SASS-accel-51747b3-gpgpu-deb5eb5,48,48,48.0

----------------------------------------------------------------------------------------------------,,
gpgpu_simulation_rate\s+=\s+(.*)\s+\(cycle\/sec\),,
CFG,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,AV--VG
QV100-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,799.1
QV100-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,776.9
QV100-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,814.4
QV100-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,806.7
QV100-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,808.8
QV100-SASS-accel-70be42c-gpgpu-deb5eb5,NA,NA,668.0
QV100-SASS-accel-51747b3-gpgpu-deb5eb5,1102,1102,1102.0

----------------------------------------------------------------------------------------------------,,
gpgpu_silicon_slowdown\s*=\s*(.*)x,,
CFG,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,AV--VG
QV100-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,2143231.2
QV100-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,3039961.2
QV100-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,2688519.9
QV100-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,2376002.4
QV100-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,2634397.7
QV100-SASS-accel-70be42c-gpgpu-deb5eb5,NA,NA,3726561.4
QV100-SASS-accel-51747b3-gpgpu-deb5eb5,1027223,1027223,1027223.0

----------------------------------------------------------------------------------------------------,,
gpu_tot_ipc\s*=\s*(.*),,
CFG,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,l1_lat/NO_ARGS--_Z6l1_latPjS_PmS0_--0,AV--VG
QV100-SASS-accel-f677b74-gpgpu-deb5eb5,NA,NA,98.3
QV100-SASS-accel-c366657-gpgpu-deb5eb5,NA,NA,98.7
QV100-SASS-accel-a72607f-gpgpu-deb5eb5,NA,NA,98.3
QV100-SASS-accel-4dbd5b1-gpgpu-deb5eb5,NA,NA,98.3
QV100-SASS-accel-60ad810-gpgpu-deb5eb5,NA,NA,98.3
QV100-SASS-accel-70be42c-gpgpu-deb5eb5,NA,NA,121.5
QV100-SASS-accel-51747b3-gpgpu-deb5eb5,0.0438,0.0438,0.0

